OLD NAME,"NEW NAME (""NA"" to Delete)",COMMENT
BEISTEGUI M DE,DEBEISTEGUI M,
BEISTEGUI MIGUEL DE,DEBEISTEGUI M,
DE BEISTEGUI M,DEBEISTEGUI M,
DE BEISTEGUI MIGUEL,DEBEISTEGUI M,
DE BEISTEGUI MIQUEL,DEBEISTEGUI M,
DE BERGERAC CYRANO,DEBERGERAC C,
DE BIRAN M,DEBIRAN M,
DE BIRAN MAINE,DEBIRAN M,
DE BOER K,DEBOER K,
DE BOER MARTINUS C,DEBOER M,
DE BOER P A H,DEBOER P,
BOER DE,DEBOER T,
DE BOER T,DEBOER T,
DE BOER TH,DEBOER T,
DE BOER THEODORE,DEBOER T,
DE BOLLA P,DEBOLLA P,
DE BORNECQUE H,DEBORNECQUE H,
DE BRIGARD F,DEBRIGARD F,
BRUIN DE,DEBRUIN L,
DE BRUIN L,DEBRUIN L,
DE BRUIN LC,DEBRUIN L,
DE CALAN R,DECALAN R,
DE CAMPOS AUGUSTO,DECAMPOS A,
DE CARLI F,DECARLI F,
DE CARO M,DECARO M,
DE CARVALHO JM,DECARVALHO J,
DE CARVALHO JOSE MAURICIO,DECARVALHO J,
DE CERTEAU M,DECERTEAU M,
DE CERTEAU MICHEL,DECERTEAU M,
MICHEL DE CERTEAU,DECERTEAU M,
MICHEL DE CERTEAUS STUDY,DECERTEAU M,
CERVANTES,DECERVANTES M,
CERVANTES SAAVEDRA M DE,DECERVANTES M,
DE CHARDIN P T,DECHARDIN P,
DE CHARMS R,DECHARMS R,
DE CLARAVAL BERNARDO,DECLARAVAL B,
DE CLERCQ R,DECLERCQ R,
DE CONDILLAC E B,DECONDILLAC E,
DE CONDILLAC E BONNOT,DECONDILLAC E,
DE CONDILLAC ETIENNE BONNOT,DECONDILLAC E,
DE COOREBYTER V,DECOOREBYTER V,
DE COOREBYTER VINCENT,DECOOREBYTER V,
DE CORTE J,DECORTE J,
DE CRESCENZO GIOVANNI,DECRESCENZO G,
DE CROUSAZ JEANPIERRE,DECROUSAZ J,
DE CRUZ H,DECRUZ H,
DE DECKER B,DEDECKER B,
DE DUVE T,DEDUVE T,
DE DUVE THIERRY,DEDUVE T,
DE ELEY LOTHAR,DEELEY L,
DE FERDKIN S W,DEFERDKIN S,
DE FINETTI B,DEFINETTI B,
DE FLORES TOMAS,DEFLORES T,
DE FOCKERT JW,DEFOCKERT J,
