name,value,new.name
6596,LINGIS ALPHONSO,LINGIS A
21710,LINHART D,LINHART D
22081,LINK G,LINK G
22190,LINKE F,LINKE F
5221,LINKE P,LINKE P
32420,LINKE PAUL F,LINKE P
19291,LINKE PAUL FERDINAND,LINKE P
32421,LINKE PF,LINKE P
21178,LINKER KATE,LINKER K
15956,LINKLATER RICHARD,LINKLATER R
8377,LINNEBO O,LINNEBO O
20581,LINNENBRINK EA,LINNENBRINK E
18869,LINNER STURE,LINNER S
9204,LINSCHOTEN H,LINSCHOTEN H
29732,LINSCHOTEN HANS,LINSCHOTEN H
10858,LINSCHOTEN J,LINSCHOTEN J
32900,LINSCHOTEN JOHANNES,LINSCHOTEN J
32114,LINSKY LEONARD,LINSKY L
4488,LINTON HB,LINTON H
22936,LIOTAR FRANSOA,LIOTAR F
16753,LIOTAR ZHF,LIOTAR Z
32913,LIPIEC J,LIPIEC J
15589,LIPKIN A,LIPKIN A
10674,LIPMAN M,LIPMAN M
10359,LIPOVETSKY G,LIPOVETSKY G
18470,LIPPE RUDOLF ZUR,LIPPE R
6923,LIPPI SYLVIE,LIPPI S
16025,LIPPIT AKIRA MIZUTA,LIPPIT A
27880,LIPPITT J,LIPPITT J
21361,LIPPITT JOHN,LIPPITT J
24993,LIPPITZ W,LIPPITZ W
15565,LIPPMANN W,LIPPMANN W
11564,LIPPS H,LIPPS H
6485,LIPPS HANS,LIPPS H
3033,LIPPS T,LIPPS T
1349,LIPPS TH,LIPPS T
13529,LIPPS THEODOR,LIPPS T
25501,LIPPSE TH,LIPPSE T
13878,LIPSITZ GEORGE,LIPSITZ G
32979,LIPSITZ L,LIPSITZ L
1361,LIPSITZ M,LIPSITZ M
16648,LIPSON M,LIPSON M
21161,LIPSYTE SAM,LIPSYTE S
9106,LIPTAK M,LIPTAK M
7203,LIPTON B,LIPTON B
27466,LIPTON D,LIPTON D
20364,LIPTON JS,LIPTON J
5443,LIPTON P,LIPTON P
28338,LIPTOW J,LIPTOW J
18517,LISCHOTEN HANS,LISCHOTEN H
21080,LISHMAN JR,LISHMAN J
18273,LISOVOI NIKOLAI,LISOVOI N
4689,LISPECTOR C,LISPECTOR C
11017,LISSA Z,LISSA Z
15910,LISSA ZOFIA,LISSA Z
1147,LISSMANN HW,LISSMANN H
15392,LIST C,LIST C
18187,LIST CHRISTIAN,LIST C
21601,LIST ELISABETH,LIST E
10651,LISTER M,LISTER M
12011,LISZKA J,LISZKA J
14009,LISZKA JAMES,LISZKA J
14010,LISZKA JAMES J,LISZKA J
18995,LISZKOWSKI U,LISZKOWSKI U
27749,LISZT F,LISZT F
8220,LISZT FRANZ,LISZT F
28940,LITA A,LITA A
17774,LITERATUR FRITSCHE J,LITERATUR F
2422,LITMAN A,LITMAN A
33058,LITT T,LITT T
4186,LITT THEODOR,LITT T
9405,LITTLE AC,LITTLE A
13147,LITTLE CV,LITTLE C
15777,LITTLE DY,LITTLE D
22378,LITTLE M,LITTLE M
9179,LITTLE M O,LITTLE M
27732,LITTLEWOOD ROLAND,LITTLEWOOD R
26103,LITTON P,LITTON P
29472,LITTRE E,LITTRE E
10711,LITTRE EMILE,LITTRE E
17375,LITURGY AGAMBENS,LITURGY A
8176,LITVAK L M,LITVAK L
16579,LITVAK LM,LITVAK L
19774,LITVIN TV,LITVIN T
3685,LIU CHANGYUAN,LIU C
6196,LIU MC,LIU M
20008,LIU S,LIU S
10752,LIU S H,LIU S
2148,LIU T,LIU T
17873,LIU TS,LIU T
22010,LIU XIAOQING,LIU X
13447,LIU XL,LIU X
26424,LIU ZF,LIU Z
